document_id,grade,subject,chapter,title,chunk_count,flagged_count,has_pdf_source,avg_overall,avg_completeness,avg_boundary,avg_fidelity,critical_findings,high_findings,medium_findings,low_findings,audited_at
191,Grade 8,Maths,Chapter 7: Area,Maths Text Book Part 2 - Chapter 7: Area,23,0,False,96,100,89,100,0,0,36,0,2026-07-10T05:25:26.433340+00:00
190,Grade 8,Maths,Chapter 6: Algebra Play,Maths Text Book Part 2 - Chapter 6: Algebra Play,14,0,False,96,98,90,100,0,0,23,0,2026-07-10T05:25:26.682332+00:00
189,Grade 8,Maths,Chapter 5: Tales by Dots and Lines,Maths Text Book Part 2 - Chapter 5: Tales by Dots and Lines,35,0,False,96,100,89,100,0,0,56,0,2026-07-10T05:25:27.299173+00:00
188,Grade 8,Maths,Chapter 4: Exploring Some Geometric Themes,Maths Text Book Part 2 - Chapter 4: Exploring Some Geometric Themes,30,0,False,96,100,88,100,0,0,53,0,2026-07-10T05:25:27.684332+00:00
187,Grade 8,Maths,Chapter 3: Proportional Reasoning-2,Maths Text Book Part 2 - Chapter 3: Proportional Reasoning-2,20,0,False,96,100,90,100,0,0,29,0,2026-07-10T05:25:27.984353+00:00
186,Grade 8,Maths,Chapter 2: The Baudhayana-Pythagoras Theorem,Maths Text Book Part 2 - Chapter 2: The Baudhayana-Pythagoras Theorem,23,0,False,97,100,91,100,0,0,31,0,2026-07-10T05:25:28.301961+00:00
185,Grade 8,Maths,Chapter 1: Fractions in Disguise,Maths Text Book Part 2 - Chapter 1: Fractions in Disguise,43,0,False,96,100,89,100,0,0,69,0,2026-07-10T05:25:29.235523+00:00
184,Grade 8,Maths,Chapter 7: Proportional Reasoning,Maths Text Book Part 1 - Chapter 7: Proportional Reasoning,36,0,False,96,100,88,100,0,0,63,0,2026-07-10T05:25:29.961062+00:00
183,Grade 8,Maths,"Chapter 6: We Distribute, Yet Things Multiply","Maths Text Book Part 1 - Chapter 6: We Distribute, Yet Things Multiply",36,0,False,96,98,91,100,0,0,55,0,2026-07-10T05:25:30.748924+00:00
182,Grade 8,Maths,Chapter 5: Number Play,Maths Text Book Part 1 - Chapter 5: Number Play,48,0,False,96,99,90,100,0,0,72,0,2026-07-10T05:25:31.831946+00:00
